Age,Gender,Education,Years_of_Experience,Platforms_Worked,Weekly_Work_Hours,Monthly_Income,Active_Platforms,Top_Challenges,Order_Cancellation_Freq,Confidence_Road_Safety,Training_Interests,Preferred_Learning_Mode,Preferred_Training_Time,Training_Motivation,Mobile_App_Comfort,GPS_Usage_Freq,Follows_Tips_Online,Online_Community_Member,Interested_in_RiderBoost,Recommend_Score,Willingness_to_Pay,Expected_Benefit
34,Male,High School,2,"Uber Eats, Other, Zomato",35,1661,3,Low pay,Never,1,Route optimization,Audio,Weekends,"Certification, Career growth",5,Often,No,No,No,7,32,"Better income, Health & safety"
29,Male,No schooling,3,DoorDash,55,2446,1,"Unsafe conditions, Low pay",Rarely,4,"Safety practices, Fitness and health, Communication skills",Videos,Weekends,Peer competition,3,Often,Yes,Yes,Yes,7,27,"Better income, Health & safety"
35,Female,High School,5,Other,48,2011,1,"Unsafe conditions, Navigation issues, Fatigue",Sometimes,3,"Fitness and health, Route optimization, Communication skills",Reading materials,Evenings,"Career growth, Certification, Better income",1,Always,Yes,Yes,No,8,8,Better income
42,Female,High School,2,Other,43,2455,3,Navigation issues,Sometimes,2,"Safety practices, Communication skills, Fitness and health, Route optimization",Audio,Flexible,"Better income, Career growth",3,Often,No,Yes,Yes,4,0,Fewer complaints
28,Male,College,1,"Deliveroo, Uber Eats, Talabat",37,1692,1,"Customer complaints, Low pay",Often,2,"Communication skills, Fitness and health, Safety practices",In-person,Weekends,"Skill-building, Career growth, Certification",4,Always,No,Yes,Yes,8,11,"Faster delivery, Fewer complaints"
28,Female,College,4,Uber Eats,38,2269,1,"Unsafe conditions, Fatigue, Navigation issues",Always,3,Route optimization,Audio,Weekends,"Skill-building, Peer competition",5,Always,Yes,Yes,No,6,20,Social recognition
43,Male,College,2,DoorDash,65,2618,3,"Fatigue, Customer complaints, Low pay",Sometimes,3,Route optimization,Reading materials,Weekends,"Certification, Career growth",1,Often,No,Yes,No,4,12,"Social recognition, Health & safety"
36,Male,High School,1,Deliveroo,45,2456,2,Navigation issues,Never,5,"Route optimization, Customer service, Fitness and health, Communication skills",In-person,Flexible,"Skill-building, Better income, Career growth",5,Always,Yes,Yes,Yes,8,0,Social recognition
26,Female,Graduate Degree,2,"Uber Eats, Deliveroo, DoorDash",53,1254,1,"Navigation issues, Customer complaints",Often,2,"Communication skills, Fitness and health, Customer service",In-person,Weekends,"Certification, Career growth, Better income",4,Often,No,Yes,Yes,6,22,"Social recognition, Faster delivery"
34,Female,High School,3,"Other, Deliveroo, Talabat",37,1673,1,Low pay,Sometimes,2,"Route optimization, Customer service",Videos,Mornings,"Certification, Better income",1,Always,No,Yes,No,4,0,Faster delivery
